river,source_field,raw_value
Mackenzie,ORDER__mean,2.8111801242236023
Mackenzie,SORT_mean,54261.406211180125
Mackenzie,dis_m3_pyr_mean,518.595947265625
Mackenzie,dis_m3_pmn_mean,297.36212158203125
Mackenzie,dis_m3_pmx_mean,960.0097045898438
Mackenzie,run_mm_syr_mean,187.11801242236024
Mackenzie,inu_pc_smn_mean,14.442236024844721
Mackenzie,inu_pc_umn_mean,10.428571428571429
Mackenzie,inu_pc_smx_mean,17.54534161490683
Mackenzie,inu_pc_umx_mean,13.481987577639751
Mackenzie,inu_pc_slt_mean,29.511801242236025
Mackenzie,inu_pc_ult_mean,22.888198757763973
Mackenzie,lka_pc_sse_mean,97.82857142857142
Mackenzie,lka_pc_use_mean,74.91428571428571
Mackenzie,lkv_mc_usu_mean,197246.049689441
Mackenzie,rev_mc_usu_mean,6113.867080745342
Mackenzie,dor_pc_pva_mean,61.68695652173913
Mackenzie,ria_ha_ssu_mean,609.4779663085938
Mackenzie,ria_ha_usu_mean,23924.458984375
Mackenzie,riv_tc_ssu_mean,20626.763671875
Mackenzie,riv_tc_usu_mean,669617.375
Mackenzie,gwt_cm_sav_mean,108.57018633540373
Mackenzie,ele_mt_sav_mean,605.5068322981366
Mackenzie,ele_mt_uav_mean,736.5118012422361
Mackenzie,ele_mt_smn_mean,359.35155279503107
Mackenzie,ele_mt_smx_mean,1017.0732919254658
Mackenzie,slp_dg_sav_mean,47.48571428571429
Mackenzie,slp_dg_uav_mean,58.10062111801242
Mackenzie,sgr_dk_sav_mean,100.08944099378883
Mackenzie,sample_columns,"['HYBAS_ID', 'NEXT_DOWN', 'NEXT_SINK', 'MAIN_BAS', 'DIST_SINK', 'DIST_MAIN', 'SUB_AREA', 'UP_AREA', 'PFAF_ID', 'ENDO', 'COAST', 'ORDER_', 'SORT', 'dis_m3_pyr', 'dis_m3_pmn', 'dis_m3_pmx', 'run_mm_syr', 'inu_pc_smn', 'inu_pc_umn', 'inu_pc_smx', 'inu_pc_umx', 'inu_pc_slt', 'inu_pc_ult', 'lka_pc_sse', 'lka_pc_use', 'lkv_mc_usu', 'rev_mc_usu', 'dor_pc_pva', 'ria_ha_ssu', 'ria_ha_usu', 'riv_tc_ssu', 'riv_tc_usu', 'gwt_cm_sav', 'ele_mt_sav', 'ele_mt_uav', 'ele_mt_smn', 'ele_mt_smx', 'slp_dg_sav', 'slp_dg_uav', 'sgr_dk_sav']"
