sensor,source_id,collection,rows
HLS,old_arctic_doc_snowmelt_untrained_data,NASA/HLS/HLSL30/v002/T03VWJ_20240608T220220,1
HLS,old_arctic_doc_snowmelt_untrained_data,NASA/HLS/HLSL30/v002/T03VWJ_20240615T220810,1
HLS,old_arctic_doc_snowmelt_untrained_data,NASA/HLS/HLSL30/v002/T03VWJ_20240616T220226,1
HLS,old_arctic_doc_snowmelt_untrained_data,NASA/HLS/HLSL30/v002/T03VWJ_20240623T220804,1
HLS,old_arctic_doc_snowmelt_untrained_data,NASA/HLS/HLSL30/v002/T03VWJ_20240624T220231,1
HLS,old_arctic_doc_snowmelt_untrained_data,NASA/HLS/HLSL30/v002/T03VWJ_20240701T220819,1
HLS,old_arctic_doc_snowmelt_untrained_data,NASA/HLS/HLSL30/v002/T03VWJ_20240702T220228,1
HLS,old_arctic_doc_snowmelt_untrained_data,NASA/HLS/HLSL30/v002/T03VWJ_20240717T220834,1
HLS,old_arctic_doc_snowmelt_untrained_data,NASA/HLS/HLSL30/v002/T03VWJ_20240718T220242,1
HLS,old_arctic_doc_snowmelt_untrained_data,NASA/HLS/HLSL30/v002/T03VWJ_20240803T220246,1
HLS,old_arctic_doc_snowmelt_untrained_data,NASA/HLS/HLSL30/v002/T03VWJ_20240819T220257,1
HLS,old_arctic_doc_snowmelt_untrained_data,NASA/HLS/HLSL30/v002/T03VWJ_20240827T220300,1
HLS,old_arctic_doc_snowmelt_untrained_data,NASA/HLS/HLSL30/v002/T03VWJ_20240903T220854,1
HLS,old_arctic_doc_snowmelt_untrained_data,NASA/HLS/HLSL30/v002/T03VWJ_20240911T220851,1
HLS,old_arctic_doc_snowmelt_untrained_data,NASA/HLS/HLSL30/v002/T03VWJ_20240912T220309,1
HLS,old_arctic_doc_snowmelt_untrained_data,NASA/HLS/HLSL30/v002/T03VWJ_20240919T220921,1
HLS,old_arctic_doc_snowmelt_untrained_data,NASA/HLS/HLSL30/v002/T03VWJ_20240920T220302,1
HLS,old_arctic_doc_snowmelt_untrained_data,NASA/HLS/HLSL30/v002/T03VWJ_20240927T220854,1
HLS,old_arctic_doc_snowmelt_untrained_data,NASA/HLS/HLSL30/v002/T03VWJ_20240928T220303,1
HLS,old_arctic_doc_snowmelt_untrained_data,NASA/HLS/HLSL30/v002/T03VWJ_20241005T220854,1
HLS,old_arctic_doc_snowmelt_untrained_data,NASA/HLS/HLSL30/v002/T03VWJ_20241006T220310,1
HLS,old_arctic_doc_snowmelt_untrained_data,NASA/HLS/HLSL30/v002/T03VWJ_20241013T220902,1
HLS,old_arctic_doc_snowmelt_untrained_data,NASA/HLS/HLSL30/v002/T03VWJ_20241014T220318,1
HLS,old_arctic_doc_snowmelt_untrained_data,NASA/HLS/HLSL30/v002/T03VXJ_20160501T220229,1
HLS,old_arctic_doc_snowmelt_untrained_data,NASA/HLS/HLSL30/v002/T03VXJ_20160517T220226,1
HLS,old_arctic_doc_snowmelt_untrained_data,NASA/HLS/HLSL30/v002/T03VXJ_20160602T220231,1
HLS,old_arctic_doc_snowmelt_untrained_data,NASA/HLS/HLSL30/v002/T03VXJ_20160609T220843,1
HLS,old_arctic_doc_snowmelt_untrained_data,NASA/HLS/HLSL30/v002/T03VXJ_20160625T220850,1
HLS,old_arctic_doc_snowmelt_untrained_data,NASA/HLS/HLSL30/v002/T03VXJ_20160704T220244,1
HLS,old_arctic_doc_snowmelt_untrained_data,NASA/HLS/HLSL30/v002/T03VXJ_20160711T220922,1
HLS,old_arctic_doc_snowmelt_untrained_data,NASA/HLS/HLSL30/v002/T03VXJ_20160720T220250,1
HLS,old_arctic_doc_snowmelt_untrained_data,NASA/HLS/HLSL30/v002/T03VXJ_20160727T220902,1
HLS,old_arctic_doc_snowmelt_untrained_data,NASA/HLS/HLSL30/v002/T03VXJ_20160805T220317,1
HLS,old_arctic_doc_snowmelt_untrained_data,NASA/HLS/HLSL30/v002/T03VXJ_20160812T220904,1
HLS,old_arctic_doc_snowmelt_untrained_data,NASA/HLS/HLSL30/v002/T03VXJ_20160828T220912,1
HLS,old_arctic_doc_snowmelt_untrained_data,NASA/HLS/HLSL30/v002/T03VXJ_20160906T220304,1
HLS,old_arctic_doc_snowmelt_untrained_data,NASA/HLS/HLSL30/v002/T03VXJ_20160913T220940,1
HLS,old_arctic_doc_snowmelt_untrained_data,NASA/HLS/HLSL30/v002/T03VXJ_20160922T220305,1
HLS,old_arctic_doc_snowmelt_untrained_data,NASA/HLS/HLSL30/v002/T03VXJ_20160929T220916,1
HLS,old_arctic_doc_snowmelt_untrained_data,NASA/HLS/HLSL30/v002/T03VXJ_20161008T220309,1
HLS,old_arctic_doc_snowmelt_untrained_data,NASA/HLS/HLSL30/v002/T03VXJ_20161015T220922,1
HLS,old_arctic_doc_snowmelt_untrained_data,NASA/HLS/HLSL30/v002/T03VXJ_20170504T220233,1
HLS,old_arctic_doc_snowmelt_untrained_data,NASA/HLS/HLSL30/v002/T03VXJ_20170511T220825,1
HLS,old_arctic_doc_snowmelt_untrained_data,NASA/HLS/HLSL30/v002/T03VXJ_20170520T220221,1
HLS,old_arctic_doc_snowmelt_untrained_data,NASA/HLS/HLSL30/v002/T03VXJ_20170527T220836,1
HLS,old_arctic_doc_snowmelt_untrained_data,NASA/HLS/HLSL30/v002/T03VXJ_20170605T220230,1
HLS,old_arctic_doc_snowmelt_untrained_data,NASA/HLS/HLSL30/v002/T03VXJ_20170612T220843,1
HLS,old_arctic_doc_snowmelt_untrained_data,NASA/HLS/HLSL30/v002/T03VXJ_20170707T220239,1
HLS,old_arctic_doc_snowmelt_untrained_data,NASA/HLS/HLSL30/v002/T03VXJ_20170714T220851,1
HLS,old_arctic_doc_snowmelt_untrained_data,NASA/HLS/HLSL30/v002/T03VXJ_20170723T220309,1
HLS,old_arctic_doc_snowmelt_untrained_data,NASA/HLS/HLSL30/v002/T03VXJ_20170730T220923,1
HLS,old_arctic_doc_snowmelt_untrained_data,NASA/HLS/HLSL30/v002/T03VXJ_20170808T220252,1
HLS,old_arctic_doc_snowmelt_untrained_data,NASA/HLS/HLSL30/v002/T03VXJ_20170824T220320,1
HLS,old_arctic_doc_snowmelt_untrained_data,NASA/HLS/HLSL30/v002/T03VXJ_20170831T220908,1
HLS,old_arctic_doc_snowmelt_untrained_data,NASA/HLS/HLSL30/v002/T03VXJ_20170916T220909,1
